Wavelength,Melatonin CA%,Standard Deviation,Fit,Residual,Residual ABS,Variance in,Weights normalized
420,0.130108308753924,0.153858828344659,0.510391799633968,0.380283490880044,0.380283490880044,0.238899746916699,0.149409694016445
440,0.728267538285476,0.179578515828439,0.893369735456869,0.165102197171394,0.165102197171394,0.03569393808743,1
460,0.858773894710157,0.773187882655037,0.99781211157671,0.139038216866553,0.139038216866553,0.549470219152357,0.0649606418023773
480,1,0.640396212066451,0.91830695865324,-0.0816930413467598,0.0816930413467598,0.318289696759596,0.112142926556588
500,0.863488808844601,0.446857979533859,0.870285515926138,0.00679670708153679,0.00679670708153679,0.182412334637742,0.195677217542968
530,0.628569755512738,0.588446851954439,0.724673370506704,0.0961036149939661,0.0961036149939661,0.453690929873208,0.0786745683838232
560,0.114810875789638,0.186698481527934,0.365725203140002,0.250914327350364,0.250914327350364,0.423601796927241,0.084262952485919
590,0.00411380206739734,0.0194565160659647,0.0749967773277229,0.0708829752603256,0.0708829752603256,1.86038816501032,0.0191862852918289
620,0,0,0.0602877961913448,0.0602877961913448,0.0602877961913448,1.27316394785756,0.0280356179952273
