Wavelength,Spectrum Fit
380,0.344734877938638
381,0.344412635501389
382,0.344304788423599
383,0.344423391298939
384,0.344780081316882
385,0.34538602931417
386,0.346251891322409
387,0.34738776091098
388,0.348803122632997
389,0.350506806888153
390,0.352506946519958
391,0.354810935465803
392,0.357425389776324
393,0.360356111315663
394,0.363608054446104
395,0.367185295989394
396,0.371091008742508
397,0.375327438807899
398,0.379895886977242
399,0.384796694383517
400,0.390029232608992
401,0.395591898406526
402,0.401482113158693
403,0.407696327163901
404,0.41423002880117
405,0.421077758585933
406,0.428233128088541
407,0.435688843645433
408,0.443436734750852
409,0.451467786974843
410,0.459772179211717
411,0.468339325022794
412,0.477157917798471
413,0.486215979428216
414,0.495500912133399
415,0.504999553087492
416,0.514698231421607
417,0.524582827190985
418,0.5346388318603
419,0.544851409852806
420,0.555205460700611
421,0.565685681330976
422,0.576276628026371
423,0.586962777604229
424,0.597728587375688
425,0.608558553460839
426,0.619437267060975
427,0.630349468315417
428,0.641280097401494
429,0.652214342570405
430,0.663137684848624
431,0.674035939173504
432,0.684895291772164
433,0.695702333634068
434,0.70644408996918
435,0.717108045584631
436,0.727682166152972
437,0.738154915383564
438,0.748515268145292
439,0.758752719622787
440,0.768857290619721
441,0.778819529150925
442,0.788630508489977
443,0.798281821860423
444,0.807765573976688
445,0.81707436965522
446,0.826201299727339
447,0.835139924492915
448,0.843884254958415
449,0.852428732104376
450,0.860768204426072
451,0.868897903987493
452,0.876813421222883
453,0.884510678712405
454,0.891985904149298
455,0.899235602705437
456,0.906256528990883
457,0.913045658791084
458,0.919600160753066
459,0.925917368179718
460,0.931994751079079
461,0.937829888603875
462,0.943420442005471
463,0.948764128216157
464,0.953858694164356
465,0.958701891919219
466,0.963291454754058
467,0.967625074212429
468,0.971700378256442
469,0.975514910573986
470,0.979066111120229
471,0.982351297968808
472,0.985367650549669
473,0.988112194353442
474,0.990581787186504
475,0.992773107066379
476,0.994682641853721
477,0.99630668072466
478,0.99764130759556
479,0.998682396620992
480,0.999425609894669
481,0.99986639749185
482,1
483,0.999821453691712
484,0.999325598499587
485,0.998507088956537
486,0.997360408265864
487,0.995879885663318
488,0.994059717226945
489,0.991893990279777
490,0.989376711514145
491,0.986501838944329
492,0.983263317765645
493,0.979655120162646
494,0.975671289066285
495,0.971305985809862
496,0.966553541576202
497,0.961408512464369
498,0.9558657379336
499,0.949920402306734
500,0.943568098935524
501,0.936804896548784
502,0.929627407222134
503,0.92203285532861
504,0.914019146754047
505,0.905584937594294
506,0.896729701493553
507,0.887453794740067
508,0.877758518207031
509,0.867646175217368
510,0.857120124421555
511,0.846184826810606
512,0.834845886040438
513,0.82311008132165
514,0.810985392226904
515,0.798481014885808
516,0.785607369172841
517,0.77237609664012
518,0.758800049105716
519,0.744893267967456
520,0.730670954473401
521,0.716149431331912
522,0.701346096188522
523,0.686279367616951
524,0.6709686243809
525,0.655434138794085
526,0.639697005061711
527,0.623779063505856
528,0.607702821559254
529,0.591491372386269
530,0.57516831190511
531,0.558757654907538
532,0.542283750846004
533,0.525771199740224
534,0.509244768511296
535,0.492729307913849
536,0.476249670103084
537,0.459830626740693
538,0.443496787462048
539,0.427272518420789
540,0.411181860594456
541,0.395248447529774
542,0.379495422242373
543,0.363945352955887
544,0.348620147716237
545,0.333540967670838
546,0.318728139491776
547,0.304201067077449
548,0.289978143363261
549,0.276076662903466
550,0.26251273651599
551,0.249301208862217
552,0.236455581094467
553,0.223987939248475
554,0.211908890152124
555,0.200227507729452
556,0.188951289537582
557,0.178086125944592
558,0.167636284304221
559,0.157604404040822
560,0.14799151497532
561,0.138797069056188
562,0.130018974997721
563,0.121653684902445
564,0.113696269734176
565,0.106140533531192
566,0.0989791166581072
567,0.0922036883034141
568,0.0858052381620685
569,0.0797741627507579
570,0.0741010346991427
571,0.0687766257032995
572,0.0637937338474109
573,0.0591470001278021
574,0.0548354774379095
575,0.05086739863503
576,0.0472515768214136
577,0.0440107065111266
578,0.041189492914552
579,0.0387951847630443
580,0.0368723591590334
581,0.0353543394638869
582,0.0341846316875198
583,0.0332470919765898
584,0.032460941871419
585,0.0317701280343549
586,0.031108609535175
587,0.0304876034951382
588,0.0298643564656775
589,0.0292324850062221
590,0.0286205435157421
591,0.0280263039118693
592,0.0274161688915781
593,0.0268212654925224
594,0.0262404202219973
595,0.0256408256863209
596,0.0250858849245778
597,0.0245106871437105
598,0.023946667054672
599,0.0233929889192808
600,0.0228491704206826
601,0.0223145201772192
602,0.0217885170669747
603,0.021270594825359
604,0.0207279864505403
605,0.0202244714509777
606,0.0196952723954602
607,0.0192042221181373
608,0.0186865957083947
609,0.0181743047975783
610,0.0176667114326733
611,0.0171636200127357
612,0.0166967586589702
613,0.0162016129752485
614,0.0157420902306213
615,0.0152536973906394
616,0.0148004200832164
617,0.0143177825521029
618,0.0138698772366497
619,0.0134564812912208
620,0.0130130624361999
621,0.0126039253464448
622,0.0121965879021587
623,0.0117908385750923
624,0.0113867232278053
625,0.0109839320966931
626,0.010582440023497
627,0.0101821466593161
628,0.00978285422830933
629,0.00938466193036175
630,0.00898738718136693
631,0.00862318776655951
632,0.00825968078645479
633,0.00789706147462198
634,0.0075671458157243
635,0.00723791874744356
636,0.00690932986361154
637,0.00661338462465898
638,0.00631789728076901
639,0.00605506374185724
640,0.00579262059950617
641,0.0055306194560218
642,0.00526895305867317
643,0.0050398071340891
644,0.00481084434710061
645,0.00458222465317587
646,0.00435373646879769
647,0.00412555063003945
648,0.0039297853706338
649,0.00373410506092195
650,0.003506548896739
651,0.00334332827742629
652,0.00314186254894753
653,0.00296613762773423
654,0.00280026516094294
655,0.00264101891523461
656,0.00248820465525479
657,0.00234521308389676
658,0.0022087772811676
659,0.00207884383908051
660,0.00195543532999319
661,0.0018417581115004
662,0.00173137190589974
663,0.00162749386172271
664,0.00152689743165943
665,0.00143600570563843
666,0.00134518321500605
667,0.00126404971151879
668,0.00118619236748562
669,0.00111159064640401
670,0.00104025100187421
671,0.000975385278663496
672,0.000913767706370605
673,0.000852192450200267
674,0.000797074924168075
675,0.000745209617302834
676,0.000696586457617464
677,0.000651202503865846
678,0.00060584348090713
679,0.000566935336335083
680,0.000528058833691488
681,0.000492408909201805
682,0.000456788553132146
683,0.000427605757078578
684,0.000395228002797026
685,0.000369296207188989
686,0.000340158946494209
687,0.000316832199189336
688,0.000293512543680152
689,0.000272136741653446
690,0.000252695118312932
691,0.000234553702542294
692,0.000218036089703015
693,0.000203130956549381
694,0.0001888776508873
695,0.000175917488595054
696,0.000163608486832488
697,0.000152268963833734
698,0.000141579044816622
699,0.000131537633533925
700,0.000122466845310178
701,0.000113721839116791
702,0.000105945137673701
703,9.84948220844917e-05
704,9.1369734243215e-05
705,8.48911493413228e-05
706,7.87367165684985e-05
707,7.29079884412956e-05
708,6.7724441492195e-05
709,6.28645989135814e-05
710,5.8329269205265e-05
711,5.37969920408014e-05
712,4.99094818712235e-05
713,4.63453643292265e-05
714,4.31053323598911e-05
715,3.98663360183048e-05
716,3.69512913987364e-05
717,3.43584336129827e-05
718,3.19288192186552e-05
719,2.96605770925308e-05
720,2.75545727079622e-05
721,2.56098365896134e-05
722,2.37639062229189e-05
723,2.20785197433956e-05
724,2.05229904378741e-05
725,1.90647669298765e-05
726,1.77360591174271e-05
727,1.65044191282108e-05
728,1.53378734277628e-05
729,1.426834199913e-05
730,1.32958152429558e-05
731,1.23881203840053e-05
732,1.15131149666047e-05
733,1.07029158173187e-05
734,9.98954235007512e-06
735,9.27657675367031e-06
736,8.62826852310293e-06
737,8.01248148078914e-06
738,7.46123233285723e-06
739,6.94256277630993e-06
740,6.45636957897096e-06
741,6.03468641394539e-06
742,5.6132309511874e-06
743,5.25635754097159e-06
744,4.8997008065217e-06
745,4.57538147413247e-06
746,4.25117142419107e-06
747,3.95937559197742e-06
748,3.69980420138327e-06
749,3.44050528236975e-06
750,3.22297313219752e-06
751,3.0089115852056e-06
752,2.8078663125638e-06
753,2.61974105122402e-06
754,2.44774502957541e-06
755,2.28554837974066e-06
756,2.13630666902437e-06
757,1.99678296668498e-06
758,1.86699369062991e-06
759,1.74371223988095e-06
760,1.63014087639492e-06
761,1.52306398823566e-06
762,1.42247759469539e-06
763,1.33159436663026e-06
764,1.24398342207383e-06
765,1.16284857325463e-06
766,1.08819703218422e-06
767,1.02001710354405e-06
768,9.55103350042262e-07
769,8.93425988756308e-07
770,8.35011717875998e-07
771,7.83055156836128e-07
772,7.3112633953526e-07
