Wavelength,Spectrum Fit
380,0.304446162618642
381,0.302731260679386
382,0.301122966078593
383,0.299632529395407
384,0.298271150016905
385,0.297049946572686
386,0.295979926696353
387,0.295071956203082
388,0.294336727779935
389,0.293784729292792
390,0.29342712472113
391,0.293272447488996
392,0.293331051955152
393,0.293612335224433
394,0.294125330427842
395,0.294878699687426
396,0.295880674667622
397,0.297139011683499
398,0.298661114359731
399,0.300453790520613
400,0.302523236838315
401,0.304875295199462
402,0.307515011653037
403,0.310447066809056
404,0.313675360446426
405,0.317203241573477
406,0.321033524070368
407,0.32516790530875
408,0.329607703292318
409,0.334353410781229
410,0.339404369009807
411,0.344759550927498
412,0.350417821550179
413,0.356375137016768
414,0.362629852808352
415,0.369178120136212
416,0.37601537316522
417,0.38313632372433
418,0.390533053368449
419,0.398200785843701
420,0.406132244914916
421,0.414315205603867
422,0.422745284587702
423,0.431408857024753
424,0.44030304493268
425,0.449413133385405
426,0.458730903025057
427,0.468247967931971
428,0.477947926108646
429,0.487824179883792
430,0.497859491672919
431,0.508044174179066
432,0.518362918391582
433,0.528805733024417
434,0.539359793505946
435,0.550009216584343
436,0.560740882392138
437,0.571544680344015
438,0.58240457467761
439,0.593304353931862
440,0.604234118611445
441,0.615177837637251
442,0.626122738263078
443,0.637062891698424
444,0.647982865858719
445,0.658874121502803
446,0.669728695371392
447,0.680531800014849
448,0.691272693218272
449,0.70194792988974
450,0.712518244037535
451,0.722991632061037
452,0.73335826176273
453,0.74360903964537
454,0.753734907235356
455,0.763766148332042
456,0.773617643154257
457,0.78335942376236
458,0.792985284798851
459,0.802408747669966
460,0.811703277240804
461,0.820863867959399
462,0.829802274766065
463,0.838595685940915
464,0.847197182108717
465,0.855601758015232
466,0.863804169053849
467,0.871799765001117
468,0.879584108495989
469,0.887152572106889
470,0.894500973688462
471,0.901625577164174
472,0.908522089508028
473,0.915186706104404
474,0.921662183950706
475,0.927852521994692
476,0.933847175920521
477,0.939596015997623
478,0.94514362171734
479,0.950390679182459
480,0.955429849782313
481,0.960258602751741
482,0.964775310051865
483,0.969074756070448
484,0.97305362587144
485,0.976808083400678
486,0.980233025666221
487,0.983425882775023
488,0.986331887383446
489,0.988946281490658
490,0.991264593225902
491,0.993387780573137
492,0.995259855892692
493,0.996823448981156
494,0.998073522864219
495,0.9990590405909
496,0.999666816297594
497,1
498,0.999944175490104
499,0.999603462021948
500,0.998918026652263
501,0.997938443701995
502,0.996547415842754
503,0.994909124834267
504,0.99284875801951
505,0.990475315589595
506,0.98772714838374
507,0.984599702268686
508,0.981088544868011
509,0.977248519568716
510,0.972958802376874
511,0.968274850393472
512,0.963194110851005
513,0.957714056017992
514,0.951893597597934
515,0.945612096379644
516,0.938989638198262
517,0.931966700417061
518,0.924545065382557
519,0.91666541207726
520,0.908391894705594
521,0.899604849947625
522,0.890433249994924
523,0.880758153589061
524,0.870709817871298
525,0.860296238019123
526,0.849400769237794
527,0.838221863331917
528,0.826644350518147
529,0.814743986868376
530,0.802469694783768
531,0.789899257514309
532,0.777048021368415
533,0.763931595932224
534,0.75056713511722
535,0.736972129202356
536,0.723229718964674
537,0.70929420811738
538,0.695184824678592
539,0.680921558516397
540,0.66645853474165
541,0.651749657257782
542,0.636947267706744
543,0.621939592121308
544,0.606880059081329
545,0.591655834643159
546,0.57635424113727
547,0.560995857333394
548,0.545668479723848
549,0.530393017140479
550,0.515257348239889
551,0.500214118083557
552,0.485351530150834
553,0.470688753727873
554,0.456108995451597
555,0.441629899609513
556,0.427268961376129
557,0.413042640962587
558,0.399036350181239
559,0.385196389784532
560,0.371607241634676
561,0.358351892708434
562,0.345305934507541
563,0.332551007216371
564,0.320098948350494
565,0.30796075633174
566,0.296076327879897
567,0.284454202837076
568,0.273171961914072
569,0.262165996164235
570,0.251511636695264
571,0.241143262482514
572,0.231133764041336
573,0.221415398918363
574,0.211987930282694
575,0.202922408101982
576,0.194075380663776
577,0.1855146556708
578,0.177378818697776
579,0.169521255808359
580,0.162149647118218
581,0.155115756369028
582,0.148483237687014
583,0.142173243559837
584,0.136176818791287
585,0.130484247805278
586,0.125014351293484
587,0.119827987621619
588,0.11484305934439
589,0.11004833918586
590,0.105504559483182
