Wavelength,Melatonin CA%,Standard Deviation,Fit,Residual,Residual ABS,Variance in,Weights normalized
420,0.110072509552789,0.202004946747498,0.555205460694317,0.445132951141528,0.445132951141528,0.494271965265,0.152151307131643
440,0.712352782359371,0.37013079361405,0.768857290611394,0.056504508252023,0.056504508252023,0.164976425039923,0.455847710213123
460,0.9779209394831,0.430258781838827,0.931994751070862,-0.0459261884122379,0.0459261884122379,0.157924279173103,0.476203697033585
480,0.935742544292071,0.423024261038854,0.999425609893161,0.0636830656010899,0.0636830656010899,0.160084771951524,0.46977688556391
500,1,0.300495733635979,0.943568098974045,-0.0564319010259554,0.0564319010259554,0.0752041255935959,1
530,0.970180627912486,0.340814839046989,0.575168314893512,-0.395012313018974,0.395012313018974,0.0999402331325248,0.752490996232439
560,0.379939998240715,0.378348372345,0.148002053973872,-0.231937944266844,0.231937944266844,0.35184507268221,0.213742159355237
590,0,0,0.0396542830220917,0.0396542830220917,0.0396542830220917,2.76724115069293,0.0271765709955435
620,0.100760998647113,0.248227498813128,0.0182847900169642,-0.0824762086301486,0.0824762086301486,0.847098016073802,0.0887785405780526
