Wavelength,Melatonin CA%,Standard Deviation,Fit,Residual,Residual ABS,Variance in,Weights normalized
420,0.0752864505751018,0.357313291205801,0.290858532842761,0.215572082267659,0.215572082267659,1.38802375107072,0.052135331825523
440,0.613777693993761,0.359203958827356,0.608623733035972,-0.00515396095778908,0.00515396095778908,0.104526834299266,0.692311015911893
460,0.886945848349643,0.620254463048573,0.785800077228138,-0.101145771121504,0.101145771121504,0.209674428289524,0.345130683956632
480,0.829689235331456,0.590003794004938,0.795145810934503,-0.0345434243969532,0.0345434243969532,0.203713484718502,0.355229694017437
500,1,0.388326856662742,0.866108479796553,-0.133891520203447,0.133891520203447,0.0723650788437792,1
530,0.954661944345442,0.478029808876042,0.987480052379829,0.0328181080343867,0.0328181080343867,0.115180193011005,0.62827711043048
560,0.495910700964376,0.684226322051119,0.676967566844886,0.18105686588051,0.18105686588051,0.479488704742359,0.150921342104738
590,0,0,0.127346262307611,0.127346262307611,0.127346262307611,2.20387450026378,0.03283539005289
620,0.254075659263209,0.361691918186101,0.226702235167212,-0.0273734240959979,0.0273734240959979,0.288759678018405,0.250606592098938
