,AF,CD,FD,SV,CR
420,-0.0680704151,0.2120171762,0.2464249542,0.0661438419,0.142849437
440,0.516998522,0.5234270799,0.1662953369,0.5640066467,0.5083287854
460,1.0810620095,0.5037602608,0.6547014916,0.1765540812,0.3897446861
480,0.9004816326,0.6213755672,0.6502698029,0.4183823925,0.5687202588
500,0.5651610185,0.4894223239,0.6488394411,0.4249254107,0.6222155843
530,-0.238398205,0.5827693553,0.4946077092,0.2972247953,0.1747603763
560,0.4133474491,0.2853938537,-0.0425812007,-0.4123676877,0.0190539078
590,0.1132506858,0.0512570945,0.023165206,0.0061007946,-0.2676115203
620,-0.2408842824,-0.4749869431,0.1219920658,0.378016561,-0.2181472475
