,GACSOL,GINLAU,SOMER,SCHCH,KHEIR,FELBR,LOMRE,LAMDI
420,0.058502731,0.0759275883,-0.0501102023,0.078581911,0.28474447,0.4219199462,0.1866834246,-0.5632779431
440,0.171540786,0.262866698,0.1711752882,0.3848068307,0.5253754477,0.5976198298,0.1115322681,0.2165886387
460,0.1329341278,0.290819909,0.3619834615,0.6805215799,0.949216722,0.6377158711,0.2997427879,0.0770319675
480,0.035034584,0.4087290103,0.4402540109,0.3285413538,0.6614873311,0.9224378699,0.1050342109,0.3212646509
500,0.5656188086,0.3231458939,0.6460678198,0.4815547097,0.5758734547,0.7413113272,0.215302282,0.2901792703
530,0.096731772,0.7312692755,0.6682648791,0.3910858458,0.529550084,0.5728381162,0.5318155687,0.1534419933
560,0.1467680016,0.4672781549,0.3718123175,-0.1842211603,0.4261973775,0.8424860177,-0.1824186326,0.1271012751
590,0.036583438,-0.0909399113,-0.1801705155,0.038526101,-0.0104581885,0.6047297973,-0.0330615572,-0.144661721
620,-0.0585084817,0.1871016497,-0.0479319675,0.1223934592,0.5367848078,0.3217125126,0.0430600897,0.0353097021
