,GACSOL,GINLAU,SOMER,SCHCH,KHEIR,FELBR,LOMRE,LAMDI
420,-0.1065267232,0.2462596478,0.2545292101,0.5482211575,0.2300993642,0.3032922963,0.010748586,-0.31256516
440,0.2675272964,0.4426043737,0.4248228369,1.1517723037,0.5476163569,1.0567564176,0.5455729193,0.4520083735
460,0.4256109307,0.6050987023,0.7934706128,1.3208265119,1.1676947629,1.1560517801,0.679717791,0.378127375
480,0.3739970454,0.6452836992,0.7826600406,1.2621460447,0.9090547966,1.2373216513,0.2939151312,0.762080679
500,0.6251221767,0.6867035477,0.7982600242,1.2173992173,1.0019005217,1.1265803342,0.5549086692,0.6518987413
530,0.2758980648,0.791054105,0.9679637237,1.1300525091,0.9113007327,1.0556885095,0.824506367,0.5223953258
560,0.1860412486,0.5964412052,0.3139336517,0.0362700311,0.4478693164,1.0839791337,0.0919386092,0.082019318
590,-0.1769702887,-0.0838338413,-0.3095792634,0.6096945475,-0.3564685354,0.7527977771,-0.0889253844,0.1484603961
620,-0.0616416819,0.23579208,-0.5727511431,0.5019925369,0.4733057358,0.2210553742,0.0585617023,0.2603141199
