,AF,CD,FD,SV,CR
420,-0.6919836349,0.0175562704,0.4968997894,-0.2203767555,0.2678022882
440,0.3159932946,0.5519509911,0.4742194084,0.1705413146,0.6384167958
460,0.7190014846,0.3112859442,0.5812705966,0.2895678362,0.4289871143
480,0.7457094541,0.5009018677,0.783856609,0.6093496493,0.5477476111
500,0.6735489022,0.3780179995,0.8459272877,0.2139983607,0.3026607224
530,-0.6046693021,0.3430587122,0.4624815728,0.6294332742,0.2701217278
560,-0.221238131,-0.1554516522,0.0134941275,-0.1091321633,0.217570614
590,0.0282131958,0.0792406363,0.0087538454,0.2839171062,0.2000380452
620,-0.1260216335,-0.2945808255,0.4359719008,0.416100167,0.2385126617
