Wavelength,15 min,30 min,45 min,60 min
420,0.0752546687,0.4590636246,0.1257412151,0.2020218298
440,0.3348857739,0.1874706962,0.1632479571,0.1447541556
460,0.2648955757,0.1828467666,0.3389866379,0.6102923891
480,0.172872377,0.1231224243,0.1747610801,0.4970199554
500,0.2069004213,0.2664255592,0.0929077854,0.3524856146
530,0.2550632326,0.4806682783,0.3225868261,0.4846255799
560,0.1281809314,0.1728873714,0.3204338651,0.2604953875
590,0.2411385822,0.1180431607,0.1470989272,0.3933524714
620,0.2408468566,0.329007296,0.3359061366,0.3197548132
