Wavelength,15 min,30 min,45 min,60 min
420,-0.0136141243,-0.0260204085,0.1198729988,0.1708365967
440,0.0803208513,0.4302243609,0.4558112742,0.5870398921
460,0.2208255921,0.4660225952,0.5611645058,0.6778471102
480,0.242209723,0.6375130382,0.6318459308,0.7761132031
500,0.2720319155,0.4828306545,0.5501127557,0.6811277798
530,0.1416135407,0.220085197,0.2621928062,0.5176694909
560,-0.0717748767,-0.050951441,0.0525692644,0.1601925379
590,0.0174063868,0.1200325658,-0.0147675479,0.0831687546
620,0.1183335819,0.1339964541,-0.0868019692,0.0803063429
