,GACSOL,GINLAU,SOMER,SCHCH,KHEIR,FELBR,LOMRE,LAMDI
420,0.0410596692,0.0500718072,0.1107022065,-0.1807687326,0.4430227797,0.5064338823,-0.0347814433,0.0682215854
440,-0.1632692243,0.1006380793,0.2167834923,0.0931948365,0.2221640193,0.4144581414,-0.1266966195,0.1553904618
460,-0.1630997217,0.2138013029,0.2159573613,-0.0294684652,0.7617729156,0.3851961179,0.149871394,0.0029299883
480,-0.0763240858,0.066309746,0.3660482371,-0.039507343,0.3926904301,0.3780913377,-0.0557404173,0.2834327663
500,0.0295689693,0.0234448817,0.2750531956,0.1052975218,0.3312791119,0.5156247996,0.2150731745,0.0511426749
530,0.0207330083,-0.004421628,0.5393366738,0.0223037853,0.4134207875,0.2352170903,0.1052816224,0.3177133671
560,-0.0132440926,0.0562842365,0.3062324858,-0.0566270038,0.2942712005,0.4287787663,-0.1297455354,0.0717106154
590,0.0277102472,0.0384004743,0.1124160126,-0.4337955734,0.1752616939,0.3595103178,0.0373001216,-0.1292171222
620,0.0384744165,0.0909889725,0.1791075962,-0.2315736957,0.4546459408,-0.0030507199,0.0529093004,0.0546272375
