Wavelength,15 min,30 min,45 min,60 min
420,0.1254952193,0.0616214907,0.2144437821,0.1467572973
440,0.1140828983,0.3051882234,0.56248677,0.6110851098
460,0.1921201116,0.4287458033,0.6797657556,0.8158248083
480,0.1643750839,0.4028478777,0.6225807191,0.783307386
500,0.1933105412,0.4798816958,0.783364625,0.832846654
530,0.2061980883,0.4593746918,0.6860563401,0.8098574172
560,0.1197075841,0.2518754189,0.3788723382,0.3548115643
590,0.0234482715,0.0275684304,0.0656260773,0.061896926
620,0.079516131,0.1424902215,0.2604888763,0.1395785905
