,AF,CD,FD,SV,CR
420,0.3191527663,0.3770125188,0.1060105718,-0.1361529248,0.1881600514
440,0.7489896243,0.7151633162,0.5686150584,0.4068544042,0.4955770575
460,1.4901183784,0.885002276,0.7143536775,-0.187979823,0.487741042
480,1.5136499894,1.0265086476,0.6393891923,0.3660940604,0.3349241258
500,0.9770931416,0.7316540207,0.9246557763,0.0916111137,0.6806248469
530,1.0302141755,0.9176650739,0.601108967,0.1027438099,-0.0633845716
560,0.4210244917,0.4601710199,-0.0990254082,-0.0098134892,0.0286060754
590,0.7135959134,0.2220116992,-0.145127072,-0.1440556245,-0.2305811432
620,0.0450445232,0.313030537,-0.4299591575,0.3854943924,0.0879214192
